tag,name,trophies,clan_tag,clan_name
#V2GGR0Y9G,hoi,5102,#LU2UPYUG,Clan
#QLL089PYC,Dr.Romero,10000,#QU2C28VY,Knight
#QY0CY9G,Gabu,10000,#G9GRY8V0,STAR
#V89UYGURQ,XD,996,#GY9PJGV0,Queen
#V9L0GRCUY,Vale,1888,#G0YL92LL,the the
#GRJYR2R0,Nunca Meixa,9333,#QJ80LQJU,ELITE
#9GC98J2UU,Brandon killer,7827,#G9C8Q9YP,The
#V929V90U9,xLiam2014,1879,#GG89LJP0,Nova
#PCVPJGQU,manguita,10000,#G00JU9JY,royal
#J92C0LVQG,Him,8009,#9GCVJGVC,war war war
#PY0C0RPRR,ghostmumi,6197,#RQ2UG800,ELITE
#RCQLGQQVP,dinocrac 128,9871,#G29CQUL0,CLAN CLAN CLAN
#V9QUYGLUQ,Vmwvi,3930,#8LVUCGRL,DRAGON
#U08QP2PG0,샤프와 책,5397,#2UC9YRPJ,king
#282YQ2G8P,@..Sathish..@,7223,#QC9JULL8,Dragon
#208UPQRCYR,dhj,1151,#G0YL92LL,the the
#V802VLVP0,PoPo,0,#PY9UQGQQ,ABC ABC ABC ABC
#UUC9Q2VJU,Rama,6364,#YUU2CP82,PRO
#LU0RPJ9G2,Ana Clara Ferra,4004,#YYRLUVRU,ABC ABC ABC ABC
#JGCY29GU2,sad boys,10000,#9VULRLL0,STAR
#2J8URY8QC,uzii,8705,#QVVYC89J,QUEEN
#VP9VJYUC2,the King,6502,#QV88PQ90,Dark
#VLCLL08YG,sebta,7092,#G9C8Q9YP,The
#YQL8092C,Friedrich,10000,#Q09R0C9,Elite
#CUPQP2R29,El Torro,10000,#R02QP2VY,Nova
#UG9RGCV0J,universo,1151,#YJPJQJQ8,star
#28G2UQUPP,warrior,8500,#LCLGPPCP,King
#UY08QJ08G,Simple,8430,#R02QP2VY,Nova
#UU2YRUU2Y,Glitcher,100,#QPQG9GU0,Storm
#JV98R9RGJ,ForSaken,10000,#RY8RPLU9,KING
#2VLGV92PU,goblin,9034,#G28CRLLG,Storm
#V2P8CL20U,ShooterMcGav,957,#QPQG9GU0,Storm
#JJLLJ9C2G,Valentina:3,2444,#Q2UVGRQJ,GOD
#GUCLRRR8V,no name,9235,#QU0PRCGP,NOVA
#JYGYVY9RU,ALEJANDRO,9214,#GY9PJGV0,Queen
#LQ9JLJ82V,tman,147,#L9CLJJRJ,God God God God
#JV0C0PP,kaylem98,5985,#9P9PJ0GQ,War War War
#9U99YR2YP,user1,8592,#2PYUVQVV,nova
#9JR0JJQJU,Doñabertajr,10000,#G29CQUL0,CLAN CLAN CLAN
#28LJ0JQPL,Guapolin,10000,#G29CQUL0,CLAN CLAN CLAN
#90R222V92,laurarv,5777,#YCL09RGJ,Knight
#2QUG8YY2Q,THE LEGEND,7867,#QYC0CUJ9,NOVA
#2JPYJC09C,batuhann,9210,#QR2P2PLU,xyz
#UUC8PURVC,ahmed,6928,#G00JU9JY,royal
#VUUVYPPJJ,fire,2517,#QJ22V0VR,Star
#98PYL8Y02,ChiclesYT,7650,#QJUJJ898,ELITE
#98L0LP982,DailerKnight,10000,#LR2GQC0Y,Queen
#GGLPYYJGR,...95,9310,#R82JV0YJ,Ninja
#L20JCL28G,léo,8695,#LQPG288U,Dragon
#JPVLVRRLU,soltan(iran)Qom,9152,#R02QP2VY,Nova
#QYQLLU0UR,wealfariy,7346,#QYC0CUJ9,NOVA
#20LVQ0YU0Q,Makunouchi^Ippo,5774,#QR2P2PLU,xyz
#C0R00GV2C,dom guapo,5825,#GY9PJGV0,Queen
#V2RQP8Q8R,٨ـﮩﮩ٨ـ♡‎‎ﮩ,5042,#R02QP2VY,Nova
#VL2P2V8RG,Clash mineiro,7392,#PY88YPPJ,Fire
#VJ2GVYYUY,emanuel,6500,#YUU2CP82,PRO
#VP8LJYCUL,Sr.Dark,121,#P2YVJUY9,Dark
#8YQLJG09,UnfolLk,3602,#YCL09RGJ,Knight
#20GRURUJJR,Arcanato,4966,#G0QG9LU9,Queen
#LL08G9Q8,king Vaibhav,8153,#RY8RPLU9,KING
#P9Y22Q0QC,plomex,10000,#G00JU9JY,royal
#R220GC8Q8,andy’s man,9206,#G29CQUL0,CLAN CLAN CLAN
#CUCQ00G8R,$Adrian$,3279,#LRUYVPU9,ELITE
#8V2UJY0JC,supercell,5237,#G9009VL2,Queen
#Y80CCVR2,Sir Dal,10000,#QVLRL2RQ,ELITE
